PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,PTS,FG_PCT,DREB
1630198,Isaiah Joe,OKC,10,64,0.444,18
1630173,Precious Achiuwa,NYK,9,47,0.488,16
1641716,Jarace Walker,IND,9,8,0.3,3
1628384,OG Anunoby,NYK,9,136,0.505,47
1628420,Monté Morris,MIN,9,21,0.3,5
202694,Marcus Morris Sr.,CLE,9,55,0.458,23
1629004,Svi Mykhailiuk,BOS,8,8,0.25,4
1630214,Xavier Tillman,BOS,8,12,0.625,10
204001,Kristaps Porziņģis,BOS,7,86,0.467,27
202330,Gordon Hayward,OKC,7,0,0.0,12
1628976,Wendell Carter Jr.,ORL,7,53,0.404,35
204060,Joe Ingles,ORL,7,11,0.333,11
1631094,Paolo Banchero,ORL,7,189,0.456,46
1630175,Cole Anthony,ORL,7,36,0.317,13
1631112,Kendall Brown,IND,7,4,0.333,3
1630532,Franz Wagner,ORL,7,132,0.408,38
1629021,Moritz Wagner,ORL,7,44,0.444,20
1629026,Kenrich Williams,OKC,7,4,0.25,7
1628371,Jonathan Isaac,ORL,7,44,0.41,24
1630188,Jalen Smith,IND,7,13,0.375,7
1628365,Markelle Fultz,ORL,7,45,0.588,7
1630591,Jalen Suggs,ORL,7,103,0.402,25
1630568,Luka Garza,MIN,7,29,0.833,4
201566,Russell Westbrook,LAC,6,38,0.26,19
1626192,Pat Connaughton,MIL,6,27,0.44,20
201976,Patrick Beverley,MIL,6,49,0.41,16
202331,Paul George,LAC,6,117,0.411,38
201572,Brook Lopez,MIL,6,106,0.587,15
1626171,Bobby Portis,MIL,6,99,0.484,52
203486,Mason Plumlee,LAC,6,19,0.389,13
1629611,Terance Mann,LAC,6,56,0.413,13
200768,Kyle Lowry,PHI,6,42,0.344,15
202699,Tobias Harris,PHI,6,54,0.431,34
202692,Alec Burks,NYK,6,89,0.5,16
203954,Joel Embiid,PHI,6,198,0.444,46
1630178,Tyrese Maxey,PHI,6,179,0.478,30
1631111,Wendell Moore Jr.,MIN,6,7,0.429,2
1629599,Amir Coffey,LAC,6,17,0.318,8
1630194,Paul Reed,PHI,6,9,0.444,7
1627826,Ivica Zubac,LAC,6,97,0.6,38
201587,Nicolas Batum,PHI,6,38,0.414,26
201935,James Harden,LAC,6,127,0.449,24
203914,Gary Harris,ORL,6,25,0.286,7
1629011,Mitchell Robinson,NYK,6,17,0.5,18
1627736,Malik Beasley,MIL,6,53,0.512,14
203114,Khris Middleton,MIL,6,148,0.482,43
1629162,Jordan McLaughlin,MIN,6,4,0.222,4
1631260,AJ Green,MIL,6,17,0.375,9
1626162,Kelly Oubre Jr.,PHI,6,79,0.484,15
1626181,Norman Powell,LAC,6,77,0.426,14
1631107,Nikola Jović,MIA,5,47,0.444,31
1629130,Duncan Robinson,MIA,5,13,0.313,5
1626156,D'Angelo Russell,LAL,5,71,0.384,13
1629216,Gabe Vincent,LAL,5,7,0.25,7
1629639,Tyler Herro,MIA,5,84,0.385,18
201567,Kevin Love,MIA,5,9,0.444,13
1629312,Haywood Highsmith,MIA,5,24,0.357,12
1626166,Cameron Payne,PHI,5,28,0.4,6
1627752,Taurean Prince,LAL,5,37,0.414,11
1630579,Jericho Sims,NYK,5,7,1.0,5
1641748,Andre Jackson Jr.,MIL,5,12,0.455,6
2544,LeBron James,LAL,5,139,0.566,30
203915,Spencer Dinwiddie,LAL,5,15,0.357,6
1631169,Josh Minott,MIN,5,6,0.222,4
1630559,Austin Reaves,LAL,5,84,0.476,14
1628389,Bam Adebayo,MIA,5,113,0.495,36
1628997,Caleb Martin,MIA,5,58,0.467,13
1629060,Rui Hachimura,LAL,5,39,0.395,13
203076,Anthony Davis,LAL,5,139,0.634,63
