PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,TEAM_ID,GP,PTS,FG_PCT,DREB,DEF_RATING,DEF_WS,Salary,REB,STL,BLK
1629008,Michael Porter Jr.,DEN,1610612743,12,15.8,0.466,6.2,114.4,-1.037,35859950,6.8,0.9,0.8
203999,Nikola Joki??,DEN,1610612743,12,28.7,0.545,9.8,111.1,-1.066,51415938,13.4,1.4,0.7
1627747,Caris LeVert,CLE,1610612739,11,10.1,0.431,2.9,108.7,-0.628,16615384,3.6,0.8,0.5
1629652,Luguentz Dort,OKC,1610612760,10,10.7,0.363,2.7,104.9,-0.8,16500000,4.6,1.3,0.2
1630581,Josh Giddey,OKC,1610612760,10,8.7,0.453,2.9,98.9,-0.366,8352367,1.4,0.3,0.2
1631212,Peyton Watson,DEN,1610612743,10,1.8,0.25,1.3,101.6,-0.2,2413560,3.6,0.2,0.4
1630241,Sam Merrill,CLE,1610612739,10,3.3,0.345,1,113.3,-0.338,2164993,1.5,0,0.6
1628983,Shai Gilgeous-Alexander,OKC,1610612760,10,30.2,0.496,6.4,104.4,-0.899,35859950,1.2,0,0
202684,Tristan Thompson,CLE,1610612739,10,1.5,0.438,1,107.4,-0.218,2087519,7.2,1.3,1.7
203926,Doug McDermott,IND,1610612754,10,1.3,0.455,0.1,113.7,-0.185,2087519,2,0.1,0.5
1631114,Jalen Williams,OKC,1610612760,10,18.7,0.469,5.5,104.7,-0.865,4775760,0.3,0,0.1
1630598,Aaron Wiggins,OKC,1610612760,10,6.2,0.489,2.3,100,-0.318,10514017,0.3,0,0.2
1641717,Cason Wallace,OKC,1610612760,10,4.2,0.39,0.6,97.8,-0.382,5555880,6.8,1.7,0.5
1631119,Jaylin Williams,OKC,1610612760,10,4.4,0.485,2.8,105.8,-0.303,2019699,3.2,0.6,0.3
1631096,Chet Holmgren,OKC,1610612760,10,15.6,0.496,5.8,102,-0.753,10880640,1.3,0.9,0.2
1628378,Donovan Mitchell,CLE,1610612739,10,29.6,0.476,4.8,106.7,-0.924,35410310,3.2,0.4,0.3
1627777,Georges Niang,CLE,1610612739,10,2.8,0.22,0.9,113,-0.333,8500000,7.2,0.7,2.5
1630198,Isaiah Joe,OKC,1610612760,10,6.4,0.444,1.8,105.4,-0.405,12991650,5.4,1.3,0.3
1630173,Precious Achiuwa,NYK,1610612752,9,5.2,0.488,1.8,125.4,-0.697,6000000,1.2,0.4,0.2
1641716,Jarace Walker,IND,1610612754,9,0.9,0.3,0.3,113.3,-0.093,6362520,2.2,0.5,0
1628384,OG Anunoby,NYK,1610612752,9,15.1,0.505,5.2,119.3,-1.111,36637932,4.2,0.4,1.3
1628420,Mont?? Morris,MIN,1610612750,9,2.3,0.3,0.6,89.4,-0.115,2087519,0.4,0.2,0.1
1629004,Svi Mykhailiuk,BOS,1610612738,8,1,0.25,0.5,98.4,-0.078,3500000,6,0.9,1
1630214,Xavier Tillman,BOS,1610612738,8,1.5,0.625,1.3,95.5,-0.152,2237691,0.7,0.2,0.1
204001,Kristaps Porzi????is,BOS,1610612738,7,12.3,0.467,3.9,101.6,-0.493,29268293,2.8,0.4,0
1628976,Wendell Carter Jr.,ORL,1610612753,7,7.6,0.404,5,100.5,-0.544,11950000,0.6,0.1,0
204060,Joe Ingles,ORL,1610612753,7,1.6,0.333,1.6,97.7,-0.179,2087519,1.8,0.4,0.4
1631094,Paolo Banchero,ORL,1610612753,7,27,0.456,6.6,99.1,-0.741,12160800,4.4,0.7,1.6
1630175,Cole Anthony,ORL,1610612753,7,5.1,0.317,1.9,94,-0.241,12900000,1.9,0.1,0.1
1630532,Franz Wagner,ORL,1610612753,7,18.9,0.408,5.4,98.5,-0.723,7007092,6.3,0.7,0.6
1629021,Moritz Wagner,ORL,1610612753,7,6.3,0.444,2.9,87.6,-0.199,11000000,1.9,0.4,0
1629026,Kenrich Williams,OKC,1610612760,7,0.6,0.25,1,101.6,-0.095,6669000,8.6,1.1,0.6
1628371,Jonathan Isaac,ORL,1610612753,7,6.3,0.41,3.4,98.7,-0.423,25000000,2.1,0.6,0.1
1630188,Jalen Smith,IND,1610612754,7,1.9,0.375,1,123.9,-0.214,8571429,0.4,0,0.1
1630591,Jalen Suggs,ORL,1610612753,7,14.7,0.402,3.6,99.4,-0.668,9188385,6.9,0.7,1.3
1630568,Luka Garza,MIN,1610612750,7,4.1,0.833,0.6,68.6,-0.01,2162606,4.4,0.9,0.4
201566,Russell Westbrook,LAC,1610612746,6,6.3,0.26,3.2,108.6,-0.502,5631296,1.1,0.1,0
201566,Russell Westbrook,LAC,1610612746,6,6.3,0.26,3.2,108.6,-0.502,5631296,4.9,0.7,1.3
1626192,Pat Connaughton,MIL,1610612749,6,4.5,0.44,3.3,110.1,-0.546,9423869,2,0.3,0.1
202331,Paul George,LAC,1610612746,6,19.5,0.411,6.3,115.7,-1.063,49205800,2,0.4,0
201572,Brook Lopez,MIL,1610612749,6,17.7,0.587,2.5,125.3,-1.144,23000000,5.1,1.3,0.4
1626171,Bobby Portis,MIL,1610612749,6,16.5,0.484,8.7,114.7,-0.857,12578286,0.9,0,0
203486,Mason Plumlee,LAC,1610612746,6,3.2,0.389,2.2,109.4,-0.303,2087519,4.2,1.2,0.5
1629611,Terance Mann,LAC,1610612746,6,9.3,0.413,2.2,113.9,-0.884,11423077,3.8,1,0.2
200768,Kyle Lowry,PHI,1610612755,6,7,0.344,2.5,114.4,-0.82,2087519,3.3,1,0.7
202699,Tobias Harris,PHI,1610612755,6,9,0.431,5.7,115.9,-1.049,25365854,6.8,1.2,0.5
202692,Alec Burks,NYK,1610612752,6,14.8,0.5,2.7,128.5,-0.729,2087519,4.3,0,1.3
203954,Joel Embiid,PHI,1610612755,6,33,0.444,7.7,114.8,-1.155,51415938,11.3,0.5,0.2
1630178,Tyrese Maxey,PHI,1610612755,6,29.8,0.478,5,118.2,-1.347,35147000,3.3,0.5,0.3
1631111,Wendell Moore Jr.,MIN,1610612750,6,1.2,0.429,0.3,73,-0.016,2537040,5,0,0
1629599,Amir Coffey,LAC,1610612746,6,2.8,0.318,1.3,112.9,-0.531,3938271,3.5,1,0.7
1630194,Paul Reed,PHI,1610612755,6,1.5,0.444,1.2,125.9,-0.256,7723000,7.2,0.2,0.5
1627826,Ivica Zubac,LAC,1610612746,6,16.2,0.6,6.3,111.2,-0.832,11743210,3.3,0.2,0.2
201587,Nicolas Batum,PHI,1610612755,6,6.3,0.414,4.3,114.6,-0.828,4668000,10.8,1.2,1.5
201935,James Harden,LAC,1610612746,6,21.2,0.449,4,117.2,-1.176,33653846,5.2,0.8,0.3
203914,Gary Harris,ORL,1610612753,6,4.2,0.286,1.2,98.5,-0.526,7500000,0.3,0.2,0
1629011,Mitchell Robinson,NYK,1610612752,6,2.8,0.5,3,106.6,-0.466,14318182,1.7,0.3,0.2
1627736,Malik Beasley,MIL,1610612749,6,8.8,0.512,2.3,119.4,-0.709,6000000,2.7,0.2,0.5
203114,Khris Middleton,MIL,1610612749,6,24.7,0.482,7.2,116.9,-1.135,31666667,9.3,0.8,0.5
1629162,Jordan McLaughlin,MIN,1610612750,6,0.7,0.222,0.7,81.4,-0.049,2087519,5.8,0.2,0.8
1631260,AJ Green,MIL,1610612749,6,2.8,0.375,1.5,111.6,-0.314,2120693,4.5,1,1
1626162,Kelly Oubre Jr.,PHI,1610612755,6,13.2,0.484,2.5,115.1,-1.073,7983000,2,1.2,0.5
1626181,Norman Powell,LAC,1610612746,6,12.8,0.426,2.3,114.9,-0.859,19241379,6.8,1,1.2
1631107,Nikola Jovi??,MIA,1610612748,5,9.4,0.444,6.2,116.4,-0.743,2464200,2.5,0.7,0
1629130,Duncan Robinson,MIA,1610612748,5,2.6,0.313,1,129.9,-0.448,19406000,9.2,0.5,0.2
1626156,D'Angelo Russell,LAL,1610612747,5,14.2,0.384,2.6,107.6,-0.89,18692307,0.7,0,0
1629216,Gabe Vincent,LAL,1610612747,5,1.4,0.25,1.4,111.3,-0.371,11000000,1.5,0,0
1629639,Tyler Herro,MIA,1610612748,5,16.8,0.385,3.6,114.4,-1.058,29000000,4,1.8,1.2
201567,Kevin Love,MIA,1610612748,5,1.8,0.444,2.6,150,-0.319,3850000,2.8,0.5,0
1629312,Haywood Highsmith,MIA,1610612748,5,4.8,0.357,2.4,119,-0.774,5200000,6.6,1,0.6
1626166,Cameron Payne,PHI,1610612755,5,5.6,0.4,1.2,110.3,-0.317,2087519,1,0.4,0
