PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,DEF_RATING
1631260,AJ Green,MIL,6,111.6
1626162,Kelly Oubre Jr.,PHI,6,115.1
1626181,Norman Powell,LAC,6,114.9
1631107,Nikola Jović,MIA,5,116.4
1629130,Duncan Robinson,MIA,5,129.9
1626156,D'Angelo Russell,LAL,5,107.6
1629216,Gabe Vincent,LAL,5,111.3
1629639,Tyler Herro,MIA,5,114.4
201567,Kevin Love,MIA,5,150.0
1629312,Haywood Highsmith,MIA,5,119.0
1626166,Cameron Payne,PHI,5,110.3
1627752,Taurean Prince,LAL,5,108.3
1630579,Jericho Sims,NYK,5,78.9
1641748,Andre Jackson Jr.,MIL,5,106.6
2544,LeBron James,LAL,5,113.2
203915,Spencer Dinwiddie,LAL,5,109.8
1631169,Josh Minott,MIN,5,70.3
1630559,Austin Reaves,LAL,5,116.3
1628389,Bam Adebayo,MIA,5,113.8
1628997,Caleb Martin,MIA,5,117.6
1629060,Rui Hachimura,LAL,5,115.2
203076,Anthony Davis,LAL,5,114.8
