PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,TEAM_ID,GP,PTS,FG_PCT,REB,STL,BLK
1630182,Josh Green,DAL,1610612742,22,5.0,0.424,2.5,0.8,0.1
1627884,Derrick Jones Jr.,DAL,1610612742,22,9.1,0.481,3.5,0.5,1.0
1629029,Luka Dončić,DAL,1610612742,22,28.9,0.446,9.5,1.9,0.4
1629655,Daniel Gafford,DAL,1610612742,22,9.0,0.634,5.5,0.3,1.5
202681,Kyrie Irving,DAL,1610612742,22,22.1,0.467,3.7,1.0,0.3
1629023,P.J. Washington,DAL,1610612742,22,13.0,0.427,6.6,0.7,0.8
203957,Danté Exum,DAL,1610612742,21,2.0,0.364,0.8,0.1,0.0
1641726,Dereck Lively II,DAL,1610612742,21,7.9,0.674,7.4,0.4,1.0
1630202,Payton Pritchard,BOS,1610612738,19,6.4,0.419,1.9,0.2,0.0
201950,Jrue Holiday,BOS,1610612738,19,13.2,0.503,6.1,1.1,0.6
1628401,Derrick White,BOS,1610612738,19,16.7,0.452,4.3,0.9,1.2
1627759,Jaylen Brown,BOS,1610612738,19,23.9,0.516,5.9,1.2,0.6
1630573,Sam Hauser,BOS,1610612738,19,5.4,0.429,2.2,0.3,0.2
1630702,Jaden Hardy,DAL,1610612742,19,4.2,0.426,0.8,0.2,0.0
201143,Al Horford,BOS,1610612738,19,9.2,0.478,7.0,0.8,0.8
1628369,Jayson Tatum,BOS,1610612738,19,25.0,0.427,9.7,1.1,0.7
1627783,Pascal Siakam,IND,1610612754,17,21.6,0.541,7.5,0.8,0.4
1630174,Aaron Nesmith,IND,1610612754,17,10.5,0.433,4.9,0.6,0.5
1630167,Obi Toppin,IND,1610612754,17,10.9,0.541,4.4,0.4,0.4
204456,T.J. McConnell,IND,1610612754,17,11.8,0.486,3.1,0.9,0.1
1629614,Andrew Nembhard,IND,1610612754,17,14.9,0.56,3.3,0.4,0.2
1626167,Myles Turner,IND,1610612754,17,17.0,0.517,6.6,0.5,1.5
1641767,Ben Sheppard,IND,1610612754,17,5.2,0.437,3.0,0.5,0.1
1629638,Nickeil Alexander-Walker,MIN,1610612750,16,7.3,0.366,1.8,0.6,0.4
1630183,Jaden McDaniels,MIN,1610612750,16,12.2,0.514,3.8,0.9,1.1
1629675,Naz Reid,MIN,1610612750,16,11.1,0.458,3.7,0.5,0.8
1626157,Karl-Anthony Towns,MIN,1610612750,16,19.1,0.466,9.0,0.8,0.2
1630162,Anthony Edwards,MIN,1610612750,16,27.6,0.481,7.0,1.5,0.6
201144,Mike Conley,MIN,1610612750,15,11.6,0.428,3.9,1.4,0.2
203937,Kyle Anderson,MIN,1610612750,15,4.3,0.456,2.7,0.7,0.3
203497,Rudy Gobert,MIN,1610612750,15,12.1,0.615,9.8,0.9,1.0
1630169,Tyrese Haliburton,IND,1610612754,15,18.7,0.488,4.8,1.3,0.7
1630543,Isaiah Jackson,IND,1610612754,15,3.8,0.535,3.2,0.2,0.9
203501,Tim Hardaway Jr.,DAL,1610612742,14,4.4,0.379,1.8,0.4,0.1
1628973,Jalen Brunson,NYK,1610612752,13,32.4,0.444,3.3,0.8,0.2
1628392,Isaiah Hartenstein,NYK,1610612752,13,8.5,0.592,7.8,0.3,0.9
1628978,Donte DiVincenzo,NYK,1610612752,13,17.8,0.419,4.0,1.2,0.9
203939,Dwight Powell,DAL,1610612742,13,0.5,0.333,0.9,0.1,0.0
1630540,Miles McBride,NYK,1610612752,13,11.0,0.435,2.2,0.5,0.2
1628404,Josh Hart,NYK,1610612752,13,14.5,0.44,11.5,1.0,0.8
1628467,Maxi Kleber,DAL,1610612742,13,3.7,0.41,1.9,0.2,0.3
1628436,Luke Kornet,BOS,1610612738,13,3.0,0.667,3.2,0.1,0.4
1627750,Jamal Murray,DEN,1610612743,12,20.6,0.402,4.3,0.8,0.5
203484,Kentavious Caldwell-Pope,DEN,1610612743,12,8.1,0.395,2.9,1.4,0.4
203200,Justin Holiday,DEN,1610612743,12,2.9,0.314,1.7,0.5,0.0
1630171,Isaac Okoro,CLE,1610612739,12,5.5,0.357,1.8,0.9,0.3
1629636,Darius Garland,CLE,1610612739,12,15.7,0.427,3.6,1.1,0.2
203932,Aaron Gordon,DEN,1610612743,12,14.3,0.585,7.3,0.8,0.6
202704,Reggie Jackson,DEN,1610612743,12,3.5,0.333,1.3,0.2,0.1
1629622,Max Strus,CLE,1610612739,12,9.5,0.408,5.3,0.8,0.0
1631128,Christian Braun,DEN,1610612743,12,5.1,0.426,2.7,0.2,0.4
1630596,Evan Mobley,CLE,1610612739,12,16.0,0.555,9.3,0.8,2.2
1629008,Michael Porter Jr.,DEN,1610612743,12,15.8,0.466,6.8,0.9,0.8
203999,Nikola Jokić,DEN,1610612743,12,28.7,0.545,13.4,1.4,0.7
1627747,Caris LeVert,CLE,1610612739,11,10.1,0.431,3.6,0.8,0.5
1629652,Luguentz Dort,OKC,1610612760,10,10.7,0.363,4.6,1.3,0.2
1629052,Oshae Brissett,BOS,1610612738,10,1.6,0.545,1.4,0.3,0.2
1630581,Josh Giddey,OKC,1610612760,10,8.7,0.453,3.6,0.2,0.4
1631212,Peyton Watson,DEN,1610612743,10,1.8,0.25,1.5,0.0,0.6
1630241,Sam Merrill,CLE,1610612739,10,3.3,0.345,1.2,0.0,0.0
1628983,Shai Gilgeous-Alexander,OKC,1610612760,10,30.2,0.496,7.2,1.3,1.7
202684,Tristan Thompson,CLE,1610612739,10,1.5,0.438,2.0,0.1,0.5
