PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,TEAM_ID,GP,PTS,FG_PCT,DREB,DEF_RATING,DEF_WS,Salary
1630182,Josh Green,DAL,1610612742,22,5,0.424,1.6,109.7,-0.477,"12,654,321"
1627884,Derrick Jones Jr.,DAL,1610612742,22,9.1,0.481,2,107.8,-0.724,"9,523,810"
1629029,Luka Don??i??,DAL,1610612742,22,28.9,0.446,8.7,109.4,-1.023,"43,031,940"
1629655,Daniel Gafford,DAL,1610612742,22,9,0.634,3.6,111.3,-0.538,"13,394,160"
202681,Kyrie Irving,DAL,1610612742,22,22.1,0.467,2.7,110.9,-1.033,"41,000,000"
1629023,P.J. Washington,DAL,1610612742,22,13,0.427,5.1,110.4,-0.922,"15,500,000"
203957,Dant?? Exum,DAL,1610612742,21,2,0.364,0.7,106.5,-0.17,"3,150,000"
1641726,Dereck Lively II,DAL,1610612742,21,7.9,0.674,4.7,105.4,-0.519,"5,014,560"
1630202,Payton Pritchard,BOS,1610612738,19,6.4,0.419,1.2,108.6,-0.471,"6,696,429"
201950,Jrue Holiday,BOS,1610612738,19,13.2,0.503,4.2,107.3,-0.921,"30,000,000"
1628401,Derrick White,BOS,1610612738,19,16.7,0.452,3.3,108.1,-0.89,"20,071,429"
1627759,Jaylen Brown,BOS,1610612738,19,23.9,0.516,4.8,109.9,-0.959,"49,700,000"
1630573,Sam Hauser,BOS,1610612738,19,5.4,0.429,1.7,102.2,-0.322,"2,092,344"
1630702,Jaden Hardy,DAL,1610612742,19,4.2,0.426,0.7,106,-0.169,"2,019,699"
201143,Al Horford,BOS,1610612738,19,9.2,0.478,5.2,106.6,-0.72,"9,500,000"
1628369,Jayson Tatum,BOS,1610612738,19,25,0.427,8.8,108.6,-1.006,"34,848,340"
1627783,Pascal Siakam,IND,1610612754,17,21.6,0.541,5.1,117.5,-1.063,"42,176,400"
1630174,Aaron Nesmith,IND,1610612754,17,10.5,0.433,3.8,117.7,-0.992,"11,000,000"
1630167,Obi Toppin,IND,1610612754,17,10.9,0.541,3.8,113.6,-0.586,"12,975,000"
204456,T.J. McConnell,IND,1610612754,17,11.8,0.486,2.4,113.9,-0.595,"9,300,000"
1629614,Andrew Nembhard,IND,1610612754,17,14.9,0.56,2.5,119.4,-1.002,"2,019,699"
1626167,Myles Turner,IND,1610612754,17,17,0.517,5.1,119,-0.986,"19,928,500"
1641767,Ben Sheppard,IND,1610612754,17,5.2,0.437,2.4,113.8,-0.572,"2,663,880"
1629638,Nickeil Alexander-Walker,MIN,1610612750,16,7.3,0.366,1.4,110.7,-0.632,"4,312,500"
1630183,Jaden McDaniels,MIN,1610612750,16,12.2,0.514,2.1,111.5,-0.883,"23,017,242"
1629675,Naz Reid,MIN,1610612750,16,11.1,0.458,3.1,113.4,-0.631,"13,986,432"
1626157,Karl-Anthony Towns,MIN,1610612750,16,19.1,0.466,6.8,111.7,-0.866,"49,205,800"
1630162,Anthony Edwards,MIN,1610612750,16,27.6,0.481,5.9,110.6,-1.05,"42,176,400"
201144,Mike Conley,MIN,1610612750,15,11.6,0.428,3.2,110.9,-0.808,"9,975,962"
203937,Kyle Anderson,MIN,1610612750,15,4.3,0.456,1.5,112.7,-0.431,"8,780,488"
203497,Rudy Gobert,MIN,1610612750,15,12.1,0.615,7.1,109.3,-0.863,"43,827,586"
1630169,Tyrese Haliburton,IND,1610612754,15,18.7,0.488,4,116.9,-1.027,"42,176,400"
1630543,Isaiah Jackson,IND,1610612754,15,3.8,0.535,1.8,109.9,-0.273,"4,435,381"
203501,Tim Hardaway Jr.,DAL,1610612742,14,4.4,0.379,1.6,113.4,-0.361,"16,193,183"
1628973,Jalen Brunson,NYK,1610612752,13,32.4,0.444,2.7,118.2,-1.197,"24,960,001"
1628392,Isaiah Hartenstein,NYK,1610612752,13,8.5,0.592,4.1,128.2,-1.047,"30,000,000"
1628978,Donte DiVincenzo,NYK,1610612752,13,17.8,0.419,3,125.6,-1.234,"11,445,000"
203939,Dwight Powell,DAL,1610612742,13,0.5,0.333,0.7,95.6,-0.063,"4,000,000"
1630540,Miles McBride,NYK,1610612752,13,11,0.435,1.7,117.9,-0.815,"4,710,144"
1628404,Josh Hart,NYK,1610612752,13,14.5,0.44,8.7,122.3,-1.363,"18,144,000"
1628467,Maxi Kleber,DAL,1610612742,13,3.7,0.41,1.6,109.8,-0.439,"11,000,000"
1628436,Luke Kornet,BOS,1610612738,13,3,0.667,1.7,111.4,-0.277,"2,087,519"
1627750,Jamal Murray,DEN,1610612743,12,20.6,0.402,3.6,114.1,-1.068,"36,016,200"
203484,Kentavious Caldwell-Pope,DEN,1610612743,12,8.1,0.395,2.5,113,-0.966,"22,757,000"
203200,Justin Holiday,DEN,1610612743,12,2.9,0.314,1.6,94.4,-0.217,
1630171,Isaac Okoro,CLE,1610612739,12,5.5,0.357,1.3,105.6,-0.529,"10,185,186"
1629636,Darius Garland,CLE,1610612739,12,15.7,0.427,3.5,110.6,-0.938,"36,725,670"
203932,Aaron Gordon,DEN,1610612743,12,14.3,0.585,4.3,112.9,-1.016,"22,841,455"
202704,Reggie Jackson,DEN,1610612743,12,3.5,0.333,1.1,98.8,-0.201,"4,033,748"
202704,Reggie Jackson,DEN,1610612743,12,3.5,0.333,1.1,98.8,-0.201,"4,033,748"
1629622,Max Strus,CLE,1610612739,12,9.5,0.408,4.7,111.7,-0.959,"15,212,068"
1631128,Christian Braun,DEN,1610612743,12,5.1,0.426,1.9,98.5,-0.328,"3,089,640"
1630596,Evan Mobley,CLE,1610612739,12,16,0.555,6.8,108.4,-0.879,"11,227,657"
1629008,Michael Porter Jr.,DEN,1610612743,12,15.8,0.466,6.2,114.4,-1.037,"35,859,950"
203999,Nikola Joki??,DEN,1610612743,12,28.7,0.545,9.8,111.1,-1.066,"51,415,938"
1627747,Caris LeVert,CLE,1610612739,11,10.1,0.431,2.9,108.7,-0.628,"16,615,384"
1629652,Luguentz Dort,OKC,1610612760,10,10.7,0.363,2.7,104.9,-0.8,"16,500,000"
1629052,Oshae Brissett,BOS,1610612738,10,1.6,0.545,1.1,93.7,-0.095,
1630581,Josh Giddey,OKC,1610612760,10,8.7,0.453,2.9,98.9,-0.366,"8,352,367"
1631212,Peyton Watson,DEN,1610612743,10,1.8,0.25,1.3,101.6,-0.2,"2,413,560"
1630241,Sam Merrill,CLE,1610612739,10,3.3,0.345,1,113.3,-0.338,"2,164,993"
1628983,Shai Gilgeous-Alexander,OKC,1610612760,10,30.2,0.496,6.4,104.4,-0.899,"35,859,950"
